FileName,Clean_Comp_MPa,Clean_Tens_MPa,Max_Disp_mm,Phi_Comp,Gamma_Allie,Omega_Stiff,ALLIE,SEI_J_Index
job_A3_00_B_30_00_C2_00_D3_00.odb,-6.355,1.275,5.041,0.1469,0.3284,7.2446,970.7231,2.5476
job_A3_00_B_30_00_C2_00_D4_00.odb,-3.47,0.824,3.299,0.1547,0.4214,10.6464,756.4522,3.7034
job_A3_00_B_33_00_C2_00_D1_00.odb,-5.385,0.92,3.613,0.1303,0.4186,9.9672,761.5178,3.4703
job_A3_00_B_33_00_C2_00_D2_00.odb,-1.466,0.589,2.398,0.1279,0.5946,14.1305,536.1144,4.9015
job_A3_00_B_33_00_C2_00_D3_00.odb,-5.786,1.158,4.685,0.1505,0.3385,7.6844,941.7111,2.6972
job_A3_00_B_36_00_C2_00_D2_00.odb,-1.661,0.597,2.462,0.1307,0.6109,13.3783,521.8502,4.6595
job_A3_00_B_36_00_C2_00_D3_00.odb,-6.123,1.149,4.617,0.1616,0.3327,7.6375,958.3014,2.6835
job_A3_00_B_36_00_C2_00_D4_00.odb,-4.556,0.645,2.935,0.1578,0.4266,11.4944,747.2127,3.986
job_A3_00_B_39_00_C2_00_D1_00.odb,-4.553,0.836,3.797,0.1363,0.4546,8.972,701.2839,3.1558
job_A3_00_B_39_00_C2_00_D2_00.odb,-1.788,0.618,2.616,0.1299,0.6209,12.3785,513.418,4.3326
job_A3_00_B_39_00_C2_00_D3_00.odb,-6.016,1.122,4.505,0.1659,0.3302,7.7198,965.5432,2.7112
job_A3_00_B_39_00_C2_00_D4_00.odb,-4.541,0.673,2.767,0.1578,0.4312,12.0301,739.347,4.1643
job_A3_00_B_42_00_C2_00_D1_00.odb,-4.793,0.908,4.133,0.1323,0.4266,8.294,747.23,2.9215
job_A3_00_B_42_00_C2_00_D3_00.odb,-5.993,1.123,4.31,0.1574,0.3335,8.0215,955.7943,2.8091
job_A3_00_B_42_00_C2_00_D4_00.odb,-4.617,0.732,2.767,0.1566,0.416,11.9836,766.2551,4.1435
job_A3_00_B_45_00_C2_00_D1_00.odb,-4.402,0.902,3.862,0.1376,0.4482,8.5841,711.2682,3.0261
job_A3_00_B_45_00_C2_00_D3_00.odb,-5.564,1.042,3.898,0.1722,0.3553,8.537,897.211,2.9913
job_A3_00_B_48_00_C2_00_D1_00.odb,-4.282,0.918,3.813,0.1407,0.4671,8.4905,682.5305,3.0024
